,0,1
0,"Alwar, Rajasthan Hourly Weather",Fri|15:00/40°
1,"Alwar, Rajasthan Hourly Weather",Fri|16:00/40°
2,"Alwar, Rajasthan Hourly Weather",Fri|17:00/40°
3,"Alwar, Rajasthan Hourly Weather",Fri|18:00/39°
4,"Alwar, Rajasthan Hourly Weather",Fri|19:00/37°
5,"Alwar, Rajasthan Hourly Weather",Fri|20:00/36°
6,"Alwar, Rajasthan Hourly Weather",Fri|21:00/35°
7,"Alwar, Rajasthan Hourly Weather",Fri|22:30/33°
8,"Alwar, Rajasthan Hourly Weather",Fri|23:30/33°
9,"Alwar, Rajasthan Hourly Weather",Sat|00:30/32°
10,"Alwar, Rajasthan Hourly Weather",Sat|01:30/32°
11,"Alwar, Rajasthan Hourly Weather",Sat|02:30/31°
12,"Alwar, Rajasthan Hourly Weather",Sat|03:30/30°
13,"Alwar, Rajasthan Hourly Weather",Sat|04:30/30°
14,"Alwar, Rajasthan Hourly Weather",Sat|05:30/29°
15,"Alwar, Rajasthan Hourly Weather",Sat|06:30/30°
16,"Hyderabad, Telangana Hourly Weather",Fri|15:00/29°
17,"Hyderabad, Telangana Hourly Weather",Fri|16:00/28°
18,"Hyderabad, Telangana Hourly Weather",Fri|17:00/28°
19,"Hyderabad, Telangana Hourly Weather",Fri|18:00/27°
20,"Hyderabad, Telangana Hourly Weather",Fri|19:00/32°
21,"Hyderabad, Telangana Hourly Weather",Fri|20:00/31°
22,"Hyderabad, Telangana Hourly Weather",Fri|21:00/30°
23,"Hyderabad, Telangana Hourly Weather",Fri|22:30/29°
24,"Hyderabad, Telangana Hourly Weather",Fri|23:30/29°
25,"Hyderabad, Telangana Hourly Weather",Sat|00:30/28°
26,"Hyderabad, Telangana Hourly Weather",Sat|01:30/28°
27,"Hyderabad, Telangana Hourly Weather",Sat|02:30/28°
28,"Hyderabad, Telangana Hourly Weather",Sat|03:30/27°
29,"Hyderabad, Telangana Hourly Weather",Sat|04:30/27°
30,"Hyderabad, Telangana Hourly Weather",Sat|05:30/27°
31,"Hyderabad, Telangana Hourly Weather",Sat|06:30/27°
32,"Cuttack, Odisha Hourly Weather",Fri|15:00/30°
33,"Cuttack, Odisha Hourly Weather",Fri|16:00/32°
34,"Cuttack, Odisha Hourly Weather",Fri|17:00/35°
35,"Cuttack, Odisha Hourly Weather",Fri|18:00/33°
36,"Cuttack, Odisha Hourly Weather",Fri|19:00/32°
37,"Cuttack, Odisha Hourly Weather",Fri|20:00/30°
38,"Cuttack, Odisha Hourly Weather",Fri|21:00/30°
39,"Cuttack, Odisha Hourly Weather",Fri|22:30/29°
40,"Cuttack, Odisha Hourly Weather",Fri|23:30/29°
41,"Cuttack, Odisha Hourly Weather",Sat|00:30/29°
42,"Cuttack, Odisha Hourly Weather",Sat|01:30/29°
43,"Cuttack, Odisha Hourly Weather",Sat|02:30/28°
44,"Cuttack, Odisha Hourly Weather",Sat|03:30/28°
45,"Cuttack, Odisha Hourly Weather",Sat|04:30/28°
46,"Cuttack, Odisha Hourly Weather",Sat|05:30/28°
47,"Cuttack, Odisha Hourly Weather",Sat|06:30/29°
